Modelo,Marca,Ano,Quilometragem,Preço
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,54000,R$ 46.000
FIAT GRAND SIENA ESSENCE DUAL. 1.6 FLEX 16V,FIAT,2016,63000,R$ 39.900
PEUGEOT 2008 GRIFE 1.6 TURBO FLEX 16V 5P AUT,PEUGEOT,2017,79000,R$ 52.900
GM - CHEVROLET COBALT,GM - CHEVROLET,2017,0,R$ 50.000
CITROEN C3 ATTRACTION 1.6 FLEX 16V 5P AUT.,CITROEN,2019,42944,R$ 53.900
FIAT PUNTO BLACKMOTION DUAL. 1.8 FLEX 16V 5P,FIAT,2016,59000,R$ 48.900
CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,57000,R$ 40.900
PEUGEOT 2008,PEUGEOT,2016,71000,R$ 54.990
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,55000,R$ 54.500
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,68000,R$ 45.900
MITSUBISHI ECLIPSE CROSS HPE-S 1.5 16V 165CV AUT.,MITSUBISHI,2020,0,R$ 0
KIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX AUT.,KIA MOTORS,2016,29002,R$ 48.900
GM - CHEVROLET HATCH LT 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,2018,77753,R$ 51.900
FORD FIESTA SEDAN 1.6 16V FLEX AUT.,FORD,2015,39570,R$ 43.900
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,75000,R$ 45.900
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2014,1,R$ 39.900
FIAT LINEA ABSOLUTE 1.9/1.8 FLEX DUALOGIC 4P,FIAT,2016,72000,R$ 41.900
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,55000,R$ 35.990
FORD 1.6 SE HATCH 16V FLEX 4P POWERSHIFT,FORD,2017,40000,R$ 49.990
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2014,49300,R$ 46.900
HYUNDAI TUCSON 2.0 16V FLEX MEC.,HYUNDAI,2014,60000,R$ 48.500
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2014,1,R$ 43.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,50000,R$ 46.900
FORD 1.6 SE HATCH 16V FLEX 4P POWERSHIFT,FORD,2015,56765,R$ 39.900
GM - CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT,GM - CHEVROLET,2020,0,R$ 0
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,71000,R$ 47.900
FORD FIESTA SE PLUS 1.6 16V FLEX AUT. 5P,FORD,2018,44000,R$ 52.890
GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2018,41000,R$ 54.000
VW - VOLKSWAGEN VIRTUS HIGHLINE 200 TSI 1.0 FLEX 12V AUT,VW - VOLKSWAGEN,2020,22000,R$ 0
GM - CHEVROLET AGILE LTZ EASYTRONIC 1.4 8V FLEXPOWER 5P,GM - CHEVROLET,2014,63000,R$ 33.900
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2015,59000,R$ 45.800
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,1,R$ 40.900
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,54000,R$ 53.990
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,CITROEN,2015,1,R$ 49.900
GM - CHEVROLET SONIC HB LTZ EFFECT 1.6 16V FLEXP 5P AUT,GM - CHEVROLET,2014,78500,R$ 39.900
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,80000,R$ 54.900
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2017,44000,R$ 49.000
FIAT PUNTO ESSENCE 1.6 FLEX 16V 5P,FIAT,2015,47500,R$ 34.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,78000,R$ 51.900
GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,2020,7900,R$ 0
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2018,14935,R$ 54.900
FORD FOCUS SEDAN 1.6 16V FLEX 4P AUT.,FORD,2014,100,R$ 49.900
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2017,44000,R$ 47.500
GM - CHEVROLET CAPTIVA SPORT FWD 2.4 16V 171/185CV,GM - CHEVROLET,2014,70000,R$ 52.000
FORD KA 1.5 SE PLUS 12V FLEX 5P AUT.,FORD,2019,20000,R$ 52.600
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2014,78000,R$ 40.500
RENAULT LOGAN EXPRESSION HI-FLEX 1.6 16V 4P AUT,RENAULT,2016,78312,R$ 37.990
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,75000,R$ 42.500
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2017,48166,R$ 54.900
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,77000,R$ 45.400
FIAT TORO FREEDOM 1.8 16V FLEX AUT.,FIAT,2021,700,R$ 0
PEUGEOT 208 ACTIVE 1.6 FLEX 16V 5P AUT,PEUGEOT,2021,0,R$ 0
FIAT ARGO DRIVE GSR 1.3 8V FLEX,FIAT,2018,25600,R$ 51.890
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2014,58000,R$ 44.990
GM - CHEVROLET SONIC HB LT 1.6 16V FLEXPOWER 5P AUT.,GM - CHEVROLET,2014,0,R$ 14.000
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2015,72332,R$ 46.990
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,54606,R$ 45.900
VW - VOLKSWAGEN CROSSFOX I MOTION 1.6 MI T. FLEX 8V 5P,VW - VOLKSWAGEN,2014,43000,R$ 39.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2014,71289,R$ 47.900
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,58000,R$ 52.800
FIAT PUNTO BLACKMOTION DUAL. 1.8 FLEX 16V 5P,FIAT,2015,49000,R$ 45.990
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,77000,R$ 45.990
RENAULT SANDERO STEP. EASY R H-POWER 1.6 8V,RENAULT,2016,69000,R$ 43.900
HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,2015,75000,R$ 53.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,39700,R$ 52.900
TOYOTA ETIOS XLS 1.5 FLEX 5P AUT.,TOYOTA,2017,80000,R$ 52.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2014,50710,R$ 48.900
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,95,R$ 47.800
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2017,55000,R$ 54.900
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2017,44500,R$ 53.900
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,72000,R$ 48.900
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2014,78000,R$ 39.990
VW - VOLKSWAGEN FOX COMFORTLINE I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2015,78000,R$ 38.900
VW - VOLKSWAGEN GOLF GTI 2.0 TSI 220CV AUT.,VW - VOLKSWAGEN,2015,0,R$ 0
NISSAN VERSA UNIQUE 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,0,R$ 51.900
CITROEN C4 LOUNGE ORIGINE 2.0 FLEX 4P AUT.,CITROEN,2016,66523,R$ 48.900
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,65000,R$ 35.990
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2018,60000,R$ 49.000
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,80000,R$ 48.000
GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2019,20000,R$ 0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,80000,R$ 44.900
TOYOTA ETIOS XS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2018,60200,R$ 49.000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,2014,70000,R$ 39.900
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,75000,R$ 52.900
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,53750,R$ 52.000
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2016,0,R$ 47.900
FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2016,65000,R$ 54.900
NISSAN SENTRA,NISSAN,2014,0,R$ 46.990
TOYOTA ETIOS,TOYOTA,2019,65000,R$ 52.700
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,74000,R$ 49.900
CITROEN C4 PICASSO/PIC. LA LUNA 2.0 16V  AUT.,CITROEN,2014,80000,R$ 42.800
GM - CHEVROLET CRUZE,GM - CHEVROLET,2014,67000,R$ 46.000
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2016,75416,R$ 47.900
HONDA FIT TWIST 1.5 FLEX 16V 5P AUT.,HONDA,2014,50000,R$ 47.800
PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,72500,R$ 51.900
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,65000,R$ 45.900
LAND ROVER EVOQUE SE 2.0 240CV AUT.,LAND ROVER,2018,30600,R$ 0
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2016,43600,R$ 51.900
TOYOTA ETIOS,TOYOTA,2018,26351,R$ 52.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2015,62000,R$ 48.900
HONDA FIT DX 1.4 FLEX 16V 5P MEC.,HONDA,2015,58359,R$ 53.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,68000,R$ 52.990
FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,2015,47551,R$ 38.000
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,0,R$ 49.800
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2017,49900,R$ 49.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P MEC.,GM - CHEVROLET,2014,60000,R$ 45.900
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2015,67000,R$ 44.900
GM - CHEVROLET ONIX HATCH ACTIV 1.4 8V FLEX 5P AUT.,GM - CHEVROLET,2018,72067,R$ 53.990
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2018,78000,R$ 54.900
TOYOTA ETIOS X 1.3 FLEX 16V 5P AUT.,TOYOTA,2018,20000,R$ 50.000
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,67000,R$ 53.990
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2016,37800,R$ 50.000
GM - CHEVROLET ONIX,GM - CHEVROLET,2018,30000,R$ 35.000
CITROEN AIRCROSS LIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2017,54596,R$ 49.900
VW - VOLKSWAGEN UP!,VW - VOLKSWAGEN,2015,37000,R$ 41.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,80000,R$ 39.396
HONDA CITY SEDAN EXL 1.5 FLEX  16V 4P AUT.,HONDA,2015,75000,R$ 53.900
GM - CHEVROLET PRISMA,GM - CHEVROLET,2015,40000,R$ 29.000
PEUGEOT 208,PEUGEOT,2016,75300,R$ 48.900
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P,FORD,2015,59574,R$ 53.990
TOYOTA ETIOS XS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2018,53000,R$ 49.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2014,26000,R$ 41.900
FIAT LINEA ESSENCE DUALOGIC 1.8 FLEX 16V 4P,FIAT,2015,120,R$ 34.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P,FORD,2015,30900,R$ 51.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2016,77000,R$ 49.000
LAND ROVER DISCOVERY SPORT HSE 2.0 4X4 DIESEL AUT,LAND ROVER,2016,72222,R$ 0
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,2015,34235,R$ 43.900
FORD FIESTA SEL 1.0 12V ECOBOOST AUT. 5P,FORD,2017,47000,R$ 51.900
PEUGEOT 208 ALLURE 1.2 FLEX 12V 5P MEC.,PEUGEOT,2017,24864,R$ 47.900
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2016,38000,R$ 49.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,68458,R$ 54.900
NISSAN LIVINA NIGHT&DAY 1.6 16V FLEX FUEL MEC.,NISSAN,2014,110,R$ 29.900
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.,FORD,2015,76000,R$ 50.990
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,35000,R$ 49.000
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,88,R$ 43.000
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2016,78000,R$ 54.800
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,42000,R$ 47.900
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P,FORD,2015,67400,R$ 51.900
FIAT PUNTO BLACKMOTION DUAL. 1.8 FLEX 16V 5P,FIAT,2014,67000,R$ 40.000
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,54000,R$ 49.950
GM - CHEVROLET COBALT,GM - CHEVROLET,2017,59000,R$ 53.990
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2017,59000,R$ 51.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,1,R$ 49.800
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,79000,R$ 52.900
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,61000,R$ 53.500
KIA MOTORS CERATO 1.6 16V  FLEX  AUT.,KIA MOTORS,2015,56000,R$ 54.900
KIA MOTORS CERATO 1.6 16V  FLEX  AUT.,KIA MOTORS,2014,63000,R$ 47.900
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,60000,R$ 45.990
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO FLEX AUT.,CITROEN,2015,1,R$ 49.900
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2015,72320,R$ 42.990
FORD FIESTA SE 1.6 16V FLEX 5P,FORD,2015,79000,R$ 40.500
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,72000,R$ 40.800
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P MEC.,CITROEN,2015,110,R$ 45.500
GM - CHEVROLET CRUZE SPORT LTZ 1.4 16V TB FLEX 5P AUT.,GM - CHEVROLET,2018,48000,R$ 0
FIAT PALIO SPORTING DUALOGIC 1.6 FLEX 16V 5P,FIAT,2016,40000,R$ 43.000
HONDA CIVIC SEDAN SPORT 2.0 FLEX 16V AUT.4P,HONDA,2017,68000,R$ 0
JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.,JEEP,2019,22000,R$ 0
NISSAN KICKS SL 1.6 16V FLEXSTAR 5P AUT.,NISSAN,2018,35000,R$ 0
VW - VOLKSWAGEN FOX 1.6 MI I MOTION TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,2014,1,R$ 35.900
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,2015,79000,R$ 39.900
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2017,67000,R$ 52.900
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,80000,R$ 46.900
MITSUBISHI LANCER HL 2.0 16V 160CV AUT.,MITSUBISHI,2016,63905,R$ 52.900
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2014,72000,R$ 38.000
GM - CHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,GM - CHEVROLET,2020,19900,R$ 0
GM - CHEVROLET TRACKER LT 1.0 TURBO 12V FLEX AUT,GM - CHEVROLET,2021,0,R$ 0
TOYOTA ETIOS XLS 1.5 FLEX 5P AUT.,TOYOTA,2018,48000,R$ 52.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,78000,R$ 48.900
CITROEN AIRCROSS TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,0,R$ 38.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2015,59100,R$ 40.600
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,2015,48000,R$ 44.990
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,18000,R$ 52.950
GM - CHEVROLET COBALT LT 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2016,74000,R$ 52.900
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,18000,R$ 52.990
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2015,70000,R$ 47.990
GM - CHEVROLET TRACKER LTZ 1.8 16V FLEX 4X2 AUT.,GM - CHEVROLET,2015,69000,R$ 0
FIAT BRAVO SPORTING 1.8 DUALOGIC FLEX 16V 5P,FIAT,2016,76000,R$ 51.900
CITROEN C3 ATTRACTION 1.6 FLEX 16V 5P AUT.,CITROEN,2019,49000,R$ 50.900
VW - VOLKSWAGEN POLO GT 2.0 MI TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,2019,46447,R$ 54.740
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2015,61000,R$ 50.900
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2014,79500,R$ 36.990
RENAULT LOGAN EXPRESSION EASY R FLEX 1.6 16V 4P,RENAULT,2019,38900,R$ 40.990
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2017,67190,R$ 54.500
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2014,55000,R$ 46.500
FORD FOCUS GHIA  2.0 16V/ 2.0 16V FLEX 5P AUT,FORD,2015,55000,R$ 47.000
FIAT LINEA ESSENCE DUALOGIC 1.8 FLEX 16V 4P,FIAT,2016,60000,R$ 35.000
FIAT LINEA ESSENCE DUALOGIC 1.8 FLEX 16V 4P,FIAT,2015,68000,R$ 37.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,38200,R$ 51.900
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,60000,R$ 40.900
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2016,57000,R$ 51.900
GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,2020,7941,R$ 0
FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,FIAT,2015,80000,R$ 41.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2014,0,R$ 48.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2016,60086,R$ 39.990
FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2014,66705,R$ 38.900
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2016,57000,R$ 52.900
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2014,65000,R$ 42.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,60000,R$ 39.900
GM - CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,2014,60000,R$ 35.000
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2014,52000,R$ 37.800
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2015,72000,R$ 53.900
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,67000,R$ 51.990
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2014,77421,R$ 47.000
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2015,120,R$ 47.900
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,52000,R$ 42.000
MITSUBISHI OUTLANDER HPE 2.0 16V 5P AUT.,MITSUBISHI,2020,0,R$ 0
FIAT GRAND SIENA ESSENCE DUAL. 1.6 FLEX 16V,FIAT,2015,1,R$ 39.990
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,58000,R$ 47.990
FORD ECOSPORT SE 1.6 16V FLEX 5P AUT.,FORD,2016,60000,R$ 53.000
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,65500,R$ 54.900
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,160,R$ 38.000
FIAT UNO SPORTING DUALOGIC 1.4 EVO FLEX 8V 4P,FIAT,2016,66560,R$ 39.900
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2014,99,R$ 43.500
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,60000,R$ 42.000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,32400,R$ 53.900
GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2015,73356,R$ 40.900
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2015,69000,R$ 48.990
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P,FORD,2014,41000,R$ 44.704
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2015,80000,R$ 39.900
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2018,67000,R$ 52.900
MITSUBISHI PAJERO SPORT,MITSUBISHI,2020,0,R$ 0
RENAULT LOGAN ZEN FLEX 1.6 16V 4P AUT.,RENAULT,2015,67000,R$ 36.000
GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2014,75000,R$ 53.000
JEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.,JEEP,2019,25000,R$ 0
HONDA CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,HONDA,2015,78900,R$ 54.990
PEUGEOT 408 SEDAN GRIFFE 1.6 TURBO 16V 4P AUT.,PEUGEOT,2014,0,R$ 36.990
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,84,R$ 54.500
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2014,78000,R$ 45.000
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2018,43652,R$ 48.965
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,30000,R$ 0
KIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX AUT.,KIA MOTORS,2015,52000,R$ 33.900
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,66000,R$ 39.900
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO 4P AUT.,CITROEN,2014,139,R$ 45.000
VW - VOLKSWAGEN JETTA COMFORTLINE 1.4 TSI 16V 4P AUT.,VW - VOLKSWAGEN,2018,35500,R$ 0
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO FLEX AUT.,CITROEN,2015,60000,R$ 53.900
NISSAN SENTRA SV 2.0 FLEXSTART 16V AUT.,NISSAN,2016,0,R$ 50.900
,,,,
PEUGEOT 308 ALLURE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2014,1000,R$ 25.000
MITSUBISHI ECLIPSE CROSS HPE-S 1.5 AWD 165CV AUT.,MITSUBISHI,2020,0,R$ 0
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2014,6500,R$ 54.900
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2016,80000,R$ 51.900
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2021,0,R$ 0
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,52400,R$ 46.800
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,51000,R$ 53.900
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,2015,57000,R$ 48.000
GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,2020,4800,R$ 52.000
TOYOTA RAV4 2.0 TOP 4X2 16V AUT.,TOYOTA,2018,75000,R$ 0
